,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
48,181.728049931,114.731511789,107.02112344,68.1531928353,83.4728983404,83.8008085414,4644.85769365,6967.72475735,7022.57551219,0.310235506505,0.376129533631,0.0591843642843,54545.6342158,60407.82374,17887.558777,16636.0
49,50.181994429,97.6895988858,90.5995933148,79.1251766153,82.2996710304,86.3748254801,6260.79357441,6773.23585171,7460.61047671,0.206341586685,0.165493529776,0.0395620390282,42173.9419784,37648.640002,15031.0464706,21959.0
50,120.117829333,108.686768,57.945848,53.2670922201,50.063357329,41.5048040701,2837.38311358,2506.33974705,1722.64876089,0.280250252993,0.430150731884,0.140204825462,24766.1787929,47059.9183276,34805.9507412,20033.0
51,109.423266667,97.1958826667,81.5540453333,81.4679850084,73.7860954063,68.8528869724,6637.03258133,5444.38787531,4740.72004444,0.0418813159758,0.369670286843,0.298921951051,16340.5323353,43659.2846025,35211.5813192,28402.0
52,96.735736,101.849904,106.433968,75.15611547,70.6535758132,70.7554016391,5648.44169254,4991.92777519,5006.32686111,0.141530592388,0.22486409053,0.019830180256,24105.2080057,30648.8705665,9068.30325915,12445.0
53,31.815368,20.029656,19.2987813333,63.1739794458,46.724670634,46.562335985,3990.95167902,2183.19484585,2168.05113238,0.320045766848,0.320831579287,0.00614117174336,29361.2903327,29496.2825454,3198.56123906,26961.0
54,141.397560907,125.526637394,101.041232295,70.8832777081,73.3557479732,67.2166372242,5024.43905864,5381.0657607,4518.07631973,0.0302086172893,0.0808729760789,0.0193975660855,14211.5850629,29183.7422892,17101.5997497,10270.0
55,161.238437333,163.386344,175.955970667,83.3795197614,82.1329609494,73.119768381,6952.14431564,6745.82327431,5346.50052808,0.0201717041081,0.154835370591,0.0797756845846,10291.6364588,28786.9446972,21190.4380795,14373.0
56,61.4318506224,61.1232780083,60.2270622407,88.6234772786,78.2597369072,83.1409205647,7854.12072496,6124.58642079,6912.41267234,0.157829427459,0.361022597903,0.0578670577219,28814.8191908,43984.5804459,16766.789973,15559.0
57,116.111232,146.965928,160.470746667,102.198003063,73.4688041854,67.4611436031,10444.4318301,5397.66518843,4551.00589624,0.182683076927,0.371936495887,0.0674131964145,41173.4817692,55799.763297,18235.0358651,20935.0
58,198.093949333,115.652981333,50.002168,53.4655968406,64.9292020951,67.0333079643,2858.57004552,4215.80128471,4493.46437663,0.627507663268,1.17734273105,0.505747481222,65051.958733,107041.570616,57173.7701486,17128.0
59,182.60951751,155.722954604,146.301802853,66.0175766652,64.1195553287,62.5509744035,4358.32042874,4111.31737555,3912.62439882,0.301292526528,0.464525741767,0.112604275126,35544.0170212,44629.3945287,19579.806332,24697.0
60,83.3087639836,101.150933151,50.2278526603,68.1769095439,55.7515858328,46.1763026484,4648.09099495,3108.23932287,2132.25092628,0.27033673674,0.706291983732,0.31894331959,30437.5504763,46992.6898358,39822.7809802,15233.0
61,86.4817226667,78.8774106667,98.7218746667,86.3251401115,83.5446401943,89.2114563848,7452.02981527,6979.70690519,7958.6839503,0.0500279710223,0.189008677855,0.073510583694,17180.9539025,33926.4066326,23887.9003682,18852.0
62,115.425834667,115.423154667,100.179469333,97.1214879528,87.8013279102,90.6194651133,9432.58342217,7709.07318279,8211.88745743,0.275518044979,0.496629282374,0.170317362487,42363.463586,58147.957462,33263.5793023,16857.0
63,24.2270133333,63.9720506667,77.7939413333,45.3091757699,58.9135485507,63.6009098768,2052.92140895,3470.80620283,4045.07573716,0.209017954132,0.254294763803,0.00632686361515,32866.8927494,41846.1835058,9882.35108666,10052.0
64,92.4664462366,82.7927903226,75.5788736559,85.5185176951,64.6828239126,56.9083904411,7313.41686877,4183.86770931,3238.5649026,0.125384842139,0.708920390195,0.317885586938,26689.4590429,54566.2448681,30206.3599429,16115.0
65,189.766930667,124.515845333,58.425616,63.90690814,59.3451847605,31.8139130626,4084.09290802,3521.85095426,1012.12506435,0.0418970545877,0.194572624782,0.112804523931,41516.4496917,84568.7967574,45628.2798492,21189.0
66,57.6073013333,46.4420853333,19.5981493333,57.8293899999,48.8581571002,38.5911748639,3344.23834776,2387.11951522,1489.27877738,0.0186403616292,0.208498831429,0.129253621976,10790.2632961,32086.328584,22193.0867614,18557.0
67,172.26704325,147.106668414,104.345263434,84.0779516206,86.3715315101,90.1702564432,7069.10194872,7460.0414554,8130.67514703,0.201591998297,0.507770966611,0.239762954112,36885.0464687,68639.5580915,46128.6080432,28561.0
68,175.188496,151.90064,115.271392,57.8684486048,60.8393143912,75.5957663346,3348.75734392,3701.42217559,5714.71988772,0.0571102069273,0.188937989663,0.047419634172,18907.1755691,45651.0285098,27356.2533984,24586.0
